FOT_RT,,FOT_35C,,FOT_45C,,FOT_55C,,Convert to Abs("FOT_RT"):FOT_RT,,Convert to Abs("FOT_35C"):FOT_35C,,Convert to Abs("FOT_45C"):FOT_45C,,Convert to Abs("FOT_55C"):FOT_55C,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
2453.977051,0.3875780702,2453.977051,0.4425133169,2453.977051,0.4877669811,2453.977051,0.5065190792,2453.977051,2.411640882,2453.977051,2.354073763,2453.977051,2.311787605,2453.977051,2.295404196,
2453.310059,0.3863238692,2453.310059,0.4404200613,2453.310059,0.4863595963,2453.310059,0.5001731515,2453.310059,2.413048506,2453.310059,2.356132984,2453.310059,2.313042402,2453.310059,2.300879717,
2452.643066,0.3889637589,2452.643066,0.4406060576,2452.643066,0.4939253032,2452.643066,0.4974448979,2452.643066,2.410090923,2452.643066,2.35594964,2452.643066,2.306338787,2452.643066,2.303255081,
2451.976074,0.3831994832,2451.976074,0.4473608434,2451.976074,0.4925622642,2451.976074,0.4994153976,2451.976074,2.416575193,2451.976074,2.349342108,2451.976074,2.307538748,2451.976074,2.301537991,
2451.309082,0.3870435655,2451.309082,0.4432479441,2451.309082,0.4818105996,2451.309082,0.5041127205,2451.309082,2.412240028,2451.309082,2.353353262,2451.309082,2.317123652,2451.309082,2.297472239,
2450.64209,0.3854352534,2450.64209,0.438213259,2450.64209,0.4881882668,2450.64209,0.4960993826,2450.64209,2.414048672,2450.64209,2.358314514,2450.64209,2.311412573,2450.64209,2.3044312,
2449.975098,0.3897580504,2449.975098,0.4301435649,2449.975098,0.4795600772,2449.975098,0.5040471554,2449.975098,2.40920496,2449.975098,2.366386652,2449.975098,2.319156885,2449.975098,2.297528744,
2449.308105,0.3833913803,2449.308105,0.4424081147,2449.308105,0.4838479757,2449.308105,0.5111250281,2449.308105,2.416357756,2449.308105,2.354176998,2449.308105,2.315291166,2449.308105,2.291472912,
2448.641113,0.3829264641,2448.641113,0.436531812,2448.641113,0.484580636,2448.641113,0.5003387332,2448.641113,2.416884661,2448.641113,2.359984159,2448.641113,2.314633846,2448.641113,2.30073595,
2447.974121,0.3826857805,2447.974121,0.4378006458,2447.974121,0.4934180081,2447.974121,0.5059421659,2447.974121,2.41715765,2447.974121,2.35872364,2447.974121,2.306785107,2447.974121,2.295899153,
2447.306885,0.3879313469,2447.306885,0.4386893809,2447.306885,0.4867500663,2447.306885,0.5139898658,2447.306885,2.411245108,2447.306885,2.357842922,2447.306885,2.312694073,2447.306885,2.289045572,
2446.639893,0.3885268867,2446.639893,0.4382151663,2446.639893,0.4854114354,2446.639893,0.4987352192,2446.639893,2.410578966,2446.639893,2.358312607,2446.639893,2.31388998,2446.639893,2.302129984,
2445.9729,0.3907568753,2445.9729,0.4424351752,2445.9729,0.4884766936,2445.9729,0.5080689192,2445.9729,2.408093452,2445.9729,2.354150295,2445.9729,2.311156273,2445.9729,2.294077396,
2445.305908,0.3857409358,2445.305908,0.4500219226,2445.305908,0.4951201975,2445.305908,0.5074732304,2445.305908,2.413704157,2445.305908,2.346766233,2445.305908,2.305289268,2445.305908,2.294586897,
2444.638916,0.3823046088,2444.638916,0.4436057508,2444.638916,0.4852932394,2444.638916,0.5115433335,2444.638916,2.41759038,2444.638916,2.353002787,2444.638916,2.313995838,2444.638916,2.291117668,
2443.971924,0.3868469596,2443.971924,0.4432566464,2443.971924,0.4949635863,2443.971924,0.5002275705,2443.971924,2.412460804,2443.971924,2.353344679,2443.971924,2.305426836,2443.971924,2.300832272,
2443.304932,0.387501359,2443.304932,0.4438904524,2443.304932,0.490865618,2443.304932,0.5009943843,2443.304932,2.411726713,2443.304932,2.352724075,2443.304932,2.309037447,2443.304932,2.300167084,
