#Wave		#Intensity
1198.312500	2286.464600
1197.150391	2161.861572
1195.990234	2263.235596
1194.830078	2111.302002
1193.667969	2169.061035
1192.507812	2224.725342
1191.345703	2257.545898
1190.183594	2217.744385
1189.021484	2206.995850
1187.859375	2190.029053
1186.697266	2202.097656
1185.535156	2164.405518
1184.373047	2093.560791
1183.208984	2153.306396
1182.046875	2188.166016
1180.882812	2154.645264
1179.720703	2212.278320
1178.556641	2102.135010
1177.392578	2199.100830
1176.228516	2165.600586
1175.064453	2101.061523
1173.900391	2108.982422
1172.734375	2199.672852
1171.570312	2126.885010
1170.406250	2157.551758
1169.240234	2144.774902
1168.074219	2136.137939
1166.908203	2104.760986
1165.744141	2141.612061
1164.578125	2093.709961
1163.410156	2097.486328
1162.244141	2086.798340
1161.078125	2100.903564
1159.912109	2048.909668
1158.744141	2075.406738
1157.576172	2159.707275
1156.410156	2082.957275
1155.242188	2115.626709
1154.074219	2185.431396
1152.906250	2149.982422
1151.738281	2079.475098
1150.570312	2151.312500
1149.400391	2142.696777
1148.232422	2144.393555
1147.062500	2036.826660
1145.894531	2059.152832
1144.724609	2095.897461
1143.554688	2093.479736
1142.384766	2128.145752
1141.214844	2090.706299
1140.044922	2106.825684
1138.875000	2003.511108
1137.703125	2034.050903
1136.533203	2021.353638
1135.361328	2029.241333
1134.191406	2043.299194
1133.019531	2020.319946
1131.847656	2085.799561
1130.675781	2029.914307
1129.503906	2095.369629
1128.332031	2103.236084
1127.158203	2217.990967
1125.986328	2158.010498
1124.814453	2046.678101
1123.640625	2124.401855
1122.466797	2019.275391
1121.294922	2043.577148
1120.121094	2119.207764
1118.947266	2102.421143
1117.773438	2046.636963
1116.597656	2116.071045
1115.423828	2105.449463
1114.250000	2144.073486
1113.074219	2028.829468
1111.900391	2081.810547
1110.724609	2060.948242
1109.548828	2130.308350
1108.373047	2064.344971
1107.197266	2047.595459
1106.021484	2047.245972
1104.845703	2085.826660
1103.669922	2073.178955
1102.492188	2052.342529
1101.316406	2076.567139
1100.138672	2063.927246
1098.960938	2077.905273
1097.783203	2067.316406
1096.605469	2095.614502
1095.427734	2068.656738
1094.250000	2058.074463
1093.072266	2096.586670
1091.894531	2065.552246
1090.714844	1989.543579
1089.537109	2075.068848
1088.357422	2097.198975
1087.177734	2006.917847
1085.998047	2041.312134
1084.818359	2026.662354
1083.638672	1969.121826
1082.458984	2068.858643
1081.279297	2039.917725
1080.097656	2029.361206
1078.917969	2022.890747
1077.736328	2053.158936
1076.556641	2003.834595
1075.375000	2027.974731
1074.193359	2041.907349
1073.011719	1990.570435
1071.830078	2028.974609
1070.648438	1951.152588
1069.464844	2036.435059
1068.283203	1958.638306
1067.099609	2001.096924
1065.917969	1988.530273
1064.734375	1973.930908
1063.550781	1900.271118
1062.367188	1901.982666
1061.183594	1983.098999
1060.000000	1909.475220
1058.816406	1992.597778
1057.630859	1973.942139
1056.447266	1902.392090
1055.261719	2018.021729
1054.078125	1899.707642
1052.892578	1944.122070
1051.707031	1970.221924
1050.521484	1935.325562
1049.335938	1975.645752
1048.150391	1887.922852
1046.964844	1946.524048
1045.777344	1921.812866
1044.591797	1958.045166
1043.404297	1957.710327
1042.216797	1878.187012
1041.031250	1900.197021
1039.843750	1875.514648
1038.656250	1836.634644
1037.468750	1927.629150
1036.279297	1872.523438
1035.091797	1973.622559
1033.904297	1890.135132
1032.714844	1924.282471
1031.525391	1885.433594
1030.337891	1903.353882
